epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,290.656,1.1108,1.22208,1.23201,0.99375,1,0.995,0.61501,1.31482,1.0148,1.25158,0.000496,0.000496,0.000496
58,295.763,1.10859,1.08893,1.20732,0.99345,0.99162,0.995,0.59467,1.3866,1.02574,1.29186,0.000487,0.000487,0.000487
59,300.855,1.04737,1.08307,1.16242,0.99345,0.99162,0.995,0.59467,1.3866,1.02574,1.29186,0.000478,0.000478,0.000478
60,305.776,1.01218,1.04518,1.13733,0.98601,1,0.995,0.59865,1.33329,1.01753,1.26266,0.000469,0.000469,0.000469
61,310.71,1.06393,1.1663,1.24756,0.98601,1,0.995,0.59865,1.33329,1.01753,1.26266,0.00046,0.00046,0.00046
62,315.865,1.20324,1.26389,1.33511,0.98506,1,0.995,0.59817,1.31365,1.01397,1.2463,0.000451,0.000451,0.000451
63,320.604,1.11391,1.08868,1.26349,0.98506,1,0.995,0.59817,1.31365,1.01397,1.2463,0.000442,0.000442,0.000442
64,325.644,1.04431,1.03219,1.2115,0.97588,1,0.995,0.59674,1.3326,1.0394,1.26501,0.000433,0.000433,0.000433
65,330.608,1.10241,1.06953,1.21091,0.96346,0.99342,0.995,0.55785,1.43976,1.07058,1.3264,0.000424,0.000424,0.000424
66,335.586,1.18761,1.20224,1.30073,0.96346,0.99342,0.995,0.55785,1.43976,1.07058,1.3264,0.000415,0.000415,0.000415
67,340.629,1.08544,1.11819,1.24194,0.97873,0.99047,0.995,0.51691,1.58207,1.0819,1.41407,0.000406,0.000406,0.000406
68,345.945,1.16314,1.06987,1.26936,0.97873,0.99047,0.995,0.51691,1.58207,1.0819,1.41407,0.000397,0.000397,0.000397
69,351.266,1.10264,1.04582,1.19235,0.97956,0.9891,0.995,0.44292,1.70849,1.08865,1.48576,0.000388,0.000388,0.000388
70,356.283,1.19549,1.12253,1.26196,0.97956,0.9891,0.995,0.44292,1.70849,1.08865,1.48576,0.000379,0.000379,0.000379
71,361.844,1.07505,1.03238,1.18583,0.98567,0.9906,0.995,0.46221,1.63313,1.06285,1.46326,0.00037,0.00037,0.00037
72,367.275,1.03605,1.05081,1.17414,0.99382,0.99523,0.995,0.47592,1.45688,0.9837,1.35491,0.000361,0.000361,0.000361
73,372.404,1.04653,1.14566,1.16251,0.99382,0.99523,0.995,0.47592,1.45688,0.9837,1.35491,0.000352,0.000352,0.000352
74,377.196,1.07551,1.06659,1.18878,0.99564,1,0.995,0.5137,1.31884,0.93992,1.27824,0.000343,0.000343,0.000343
75,382.199,1.02615,1.08265,1.20259,0.99564,1,0.995,0.5137,1.31884,0.93992,1.27824,0.000334,0.000334,0.000334
76,387.219,1.04196,1.09111,1.18883,0.99355,1,0.995,0.56249,1.25933,0.92524,1.24259,0.000325,0.000325,0.000325
77,392.345,1.14009,1.07767,1.23749,0.99355,1,0.995,0.56249,1.25933,0.92524,1.24259,0.000316,0.000316,0.000316
78,397.387,1.14953,1.08558,1.32079,0.99373,1,0.995,0.50837,1.31849,0.95251,1.26261,0.000307,0.000307,0.000307
79,402.551,1.05046,1.08798,1.19941,0.99373,1,0.995,0.50837,1.31849,0.95251,1.26261,0.000298,0.000298,0.000298
80,407.88,1.02885,1.09669,1.23605,0.99579,1,0.995,0.49305,1.40633,0.98219,1.30948,0.000289,0.000289,0.000289
81,413.137,1.10047,1.01948,1.19067,0.99531,1,0.995,0.48732,1.53867,1.03092,1.37398,0.00028,0.00028,0.00028
82,418.2,1.05474,1.09635,1.24157,0.99531,1,0.995,0.48732,1.53867,1.03092,1.37398,0.000271,0.000271,0.000271
83,422.977,0.9958,1.18809,1.20324,0.99474,0.99921,0.995,0.47328,1.62357,1.05513,1.41639,0.000262,0.000262,0.000262
84,427.636,1.03091,1.11223,1.22875,0.99474,0.99921,0.995,0.47328,1.62357,1.05513,1.41639,0.000253,0.000253,0.000253
85,432.76,1.05321,0.98075,1.20667,0.9906,1,0.995,0.48151,1.69397,1.03173,1.46456,0.000244,0.000244,0.000244
86,437.541,1.13017,1.04809,1.27591,0.9906,1,0.995,0.48151,1.69397,1.03173,1.46456,0.000235,0.000235,0.000235
