epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,304.711,1.03193,1.1553,1.20306,0.75378,1,0.995,0.69491,1.20017,1.11926,1.21855,0.000622,0.000622,0.000622
86,308.057,1.05283,1.08653,1.18399,0.88911,0.99514,0.995,0.68464,1.27774,1.02561,1.26525,0.0006175,0.0006175,0.0006175
87,311.607,1.04264,1.12943,1.18208,0.88911,0.99514,0.995,0.68464,1.27774,1.02561,1.26525,0.000613,0.000613,0.000613
88,315.202,1.11913,1.21482,1.23141,0.89179,0.99006,0.995,0.6884,1.2514,1.01444,1.24532,0.0006085,0.0006085,0.0006085
89,318.692,1.06787,1.03468,1.17324,0.89179,0.99006,0.995,0.6884,1.2514,1.01444,1.24532,0.000604,0.000604,0.000604
90,322.123,1.10836,1.18938,1.28657,0.89179,0.99006,0.995,0.6884,1.2514,1.01444,1.24532,0.0005995,0.0005995,0.0005995
91,325.61,1.06031,1.06111,1.21517,0.90601,0.92379,0.995,0.69275,1.30088,1.05042,1.2782,0.000595,0.000595,0.000595
92,329.116,1.14917,1.02654,1.21594,0.90601,0.92379,0.995,0.69275,1.30088,1.05042,1.2782,0.0005905,0.0005905,0.0005905
93,332.64,1.07292,1.09883,1.2307,0.88923,0.93116,0.995,0.68699,1.31145,1.05806,1.28021,0.000586,0.000586,0.000586
94,336.274,1.0845,1.14008,1.21202,0.88923,0.93116,0.995,0.68699,1.31145,1.05806,1.28021,0.0005815,0.0005815,0.0005815
95,339.746,1.03561,1.01817,1.18496,0.89751,0.98514,0.995,0.70323,1.22444,1.0101,1.22333,0.000577,0.000577,0.000577
96,343.189,1.09409,1.03412,1.23366,0.89751,0.98514,0.995,0.70323,1.22444,1.0101,1.22333,0.0005725,0.0005725,0.0005725
97,346.521,1.1348,1.10554,1.21363,0.89751,0.98514,0.995,0.70323,1.22444,1.0101,1.22333,0.000568,0.000568,0.000568
98,350.042,1.09981,1.01549,1.22296,0.93244,1,0.995,0.70402,1.21811,0.98272,1.21886,0.0005635,0.0005635,0.0005635
99,353.411,1.08138,1.06645,1.16181,0.93244,1,0.995,0.70402,1.21811,0.98272,1.21886,0.000559,0.000559,0.000559
100,356.956,1.07256,1.09145,1.1995,0.90288,0.99342,0.995,0.6839,1.3283,1.02005,1.28196,0.0005545,0.0005545,0.0005545
