epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,725.291,1.51154,0.95785,1.00209,0.84587,0.91699,0.92528,0.43567,1.73609,0.86236,1.09257,0.000388,0.000388,0.000388
138,730.663,1.50258,0.92797,1.03493,0.86375,0.94134,0.94147,0.43387,1.78467,0.88177,1.10384,0.0003835,0.0003835,0.0003835
139,735.89,1.53992,0.94206,1.01533,0.86375,0.94134,0.94147,0.43387,1.78467,0.88177,1.10384,0.000379,0.000379,0.000379
140,741.033,1.50025,1.00333,1.01018,0.85801,0.95318,0.93885,0.42914,1.79339,0.88036,1.10264,0.0003745,0.0003745,0.0003745
141,746.391,1.58987,1.04002,1.05969,0.85801,0.95318,0.93885,0.42914,1.79339,0.88036,1.10264,0.00037,0.00037,0.00037
142,751.863,1.46141,0.90651,0.97579,0.88829,0.9649,0.94186,0.43852,1.78382,0.86128,1.09917,0.0003655,0.0003655,0.0003655
143,757.45,1.45431,0.95975,1.03804,0.88829,0.9649,0.94186,0.43852,1.78382,0.86128,1.09917,0.000361,0.000361,0.000361
144,763.365,1.46079,0.90099,1.00676,0.86542,0.89251,0.91509,0.43753,1.77139,0.85383,1.09932,0.0003565,0.0003565,0.0003565
145,769.155,1.49687,0.9346,1.00889,0.85596,0.89108,0.89846,0.43179,1.8087,0.85047,1.11274,0.000352,0.000352,0.000352
146,775.131,1.51321,0.92764,1.01627,0.85596,0.89108,0.89846,0.43179,1.8087,0.85047,1.11274,0.0003475,0.0003475,0.0003475
147,780.799,1.51976,0.88719,0.99289,0.85724,0.89633,0.88921,0.42215,1.82283,0.84677,1.11822,0.000343,0.000343,0.000343
148,786.237,1.54691,0.93598,1.02057,0.85724,0.89633,0.88921,0.42215,1.82283,0.84677,1.11822,0.0003385,0.0003385,0.0003385
149,791.795,1.44886,0.89575,1.00214,0.85378,0.90903,0.89789,0.43222,1.77626,0.84337,1.10078,0.000334,0.000334,0.000334
